collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size
6/20/24,Ochsner Pond,1,1,skistodiaptomus_pallidus,morphological,OP1_1,41,3,NA,0.911
6/20/24,Ochsner Pond,1,2,skistodiaptomus_pallidus,morphological,OP1_2,39,47,NA,0.842
6/20/24,Ochsner Pond,1,3,skistodiaptomus_pallidus,morphological,OP1_3,36,13,NA,0.843
6/20/24,Ochsner Pond,1,4,skistodiaptomus_pallidus,morphological,OP1_4,41,24,NA,0.865
6/20/24,Ochsner Pond,1,5,skistodiaptomus_pallidus,morphological,OP1_5,40,22,NA,0.886
6/20/24,Ochsner Pond,1,6,skistodiaptomus_pallidus,morphological,OP1_6,38,49,NA,0.862
6/20/24,Ochsner Pond,1,7,skistodiaptomus_pallidus,morphological,OP1_7,42,22,NA,0.865
6/20/24,Ochsner Pond,1,8,skistodiaptomus_pallidus,morphological,OP1_8,42,5,NA,0.852
6/20/24,Ochsner Pond,1,9,skistodiaptomus_pallidus,morphological,OP1_9,36,40,NA,0.846
6/20/24,Ochsner Pond,1,10,skistodiaptomus_pallidus,morphological,OP1_10,39,24,NA,0.831
