collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size
5/23/2024,Hillside Park,2,1,skistodiaptomus_pallidus,morphological,HS2-1,24,11,15,0.979
5/23/2024,Hillside Park,2,2,skistodiaptomus_pallidus,morphological,HS2-2,25,46,18,1.02
5/23/2024,Hillside Park,2,3,skistodiaptomus_pallidus,morphological,HS2-3,26,0,16,1.004
5/23/2024,Hillside Park,2,4,skistodiaptomus_pallidus,morphological,HS2-4,26,5,20,1.008
5/23/2024,Hillside Park,2,5,skistodiaptomus_pallidus,morphological,HS2-5,28,31,18,1
5/23/2024,Hillside Park,2,6,skistodiaptomus_pallidus,morphological,HS2-6,26,11,NA,0.989
5/23/2024,Hillside Park,2,7,skistodiaptomus_pallidus,morphological,HS2-7,27,45,NA,1
5/23/2024,Hillside Park,2,8,skistodiaptomus_pallidus,morphological,HS2-8,28,49,18,0.995
5/23/2024,Hillside Park,2,9,skistodiaptomus_pallidus,morphological,HS2-9,28,7,15,0.975
5/23/2024,Hillside Park,2,10,skistodiaptomus_pallidus,morphological,HS2-10,26,58,13,0.954
